color,from,l,a,b
赭石,国标,40.1,16.1,19.6
砖褐,国标,36.6,11.7,19.3
褐色,国标,34.2,13.7,15.2
枣褐,国标,26.4,9.4,6.0
鼠毛褐,国标,60.4,3.1,10.6
茶褐,国标,40.6,5.6,25.3
鹰背褐,国标,34.0,6.2,12.2
银褐,国标,65.5,16.0,12.8
荆褐,国标,51.4,29.0,13.5
棕灰,国标,68.5,6.9,8.1
浅棕,国标,56.4,16.1,14.2
金棕,国标,55.4,22.0,21.1
黄棕,国标,42.9,10.1,8.9
棕红,国标,31.8,18.6,12.0
黑棕,国标,29.2,6.7,6.1
粉白,国标,82.8,9.5,-4.6
粉,国标,80.7,17.1,-7.8
肉红,国标,83.9,14.7,5.5
藕红,国标,80.8,17.8,8.4
妃色,国标,77.7,22.2,6.2
粉红,国标,77.8,20.6,1.0
血牙,国标,70.5,32.8,16.0
荷花,国标,71.8,27.8,-12.0
银红,国标,34.3,28.2,29.4
桃红,国标,58.9,41.1,-0.7
洋红,国标,50.1,42.8,-16.8
金红,国标,58.3,43.0,24.6
红,国标,54.4,47.6,18.8
石榴红,国标,52.3,52.1,31.5
朱红,国标,51.4,48.3,43.2
银朱,国标,46.8,41.5,22.6
海棠红,国标,45.2,52.0,19.2
茜红,国标,44.9,41.5,8.7
猩红,国标,44.2,48.9,21.5
朱,国标,44.2,54.8,35.8
大红,国标,44.2,54.8,35.8
赭红,国标,41.8,40.5,32.0
殷红,国标,38.0,40.1,22.6
枣红,国标,37.8,42.8,26.5
深红,国标,37.3,46.9,17.9
莲红,国标,35.0,41.1,17.6
胭脂红,国标,35.2,43.1,5.7
木红,国标,35.4,38.0,18.8
杏黄,国标,72.0,35.4,54.8
桔黄,国标,69.1,41.3,52.4
柿黄,国标,62.3,40.5,34.9
雄黄,国标,59.4,30.4,32.3
桔红,国标,58.1,53.1,55.9
牙色,国标,91.6,5.1,11.0
淡黄,国标,91.2,-0.9,28.1
槐花,国标,90.3,3.3,10.6
米黄,国标,90.3,0.0,7.2
米色,国标,90.3,0.0,7.2
米白,国标,90.3,0.0,7.2
嫩黄,国标,89.2,-3.7,49.0
蜜黄,国标,87.9,5.3,37.5
黄,国标,80.4,3.9,89.9
青黄,国标,80.2,-6.2,84.7
柳黄,国标,78.5,-3.6,26.7
石黄,国标,80.6,12.5,34.0
鹅黄,国标,80.1,17.8,60.1
明黄,国标,79.2,11.6,73.4
赤黄,国标,78.2,20.1,24.9
中黄,国标,77.9,11.7,76.0
葵黄,国标,71.7,27.8,76.1
驼色,国标,70.7,15.1,15.9
灰黄,国标,66.4,6.1,27.7
深黄,国标,64.8,25.1,59.5
土黄,国标,63.8,17.6,66.0
藤黄,国标,64.6,14.4,57.4
秋香色,国标,60.5,9.6,39.4
泥灰,国标,56.0,5.0,12.7
姜黄,国标,55.0,12.5,40.4
香黄,国标,42.0,10.8,27.8
枝绿,国标,81.2,-17.4,8.4
嫩绿,国标,81.0,-22.8,48.7
玉色,国标,80.8,-13.6,17.7
鹦哥绿,国标,76.4,-36.8,5.5
三绿,国标,75.9,-27.8,13.5
浅草绿,国标,73.5,-19.4,71.8
柳绿,国标,70.9,-21.9,29.9
明绿,国标,67.5,-34.0,49.0
石绿,国标,70.8,-29.2,8.0
碧绿,国标,66.0,-41.6,5.5
湖色,国标,65.6,-39.1,-2.0
秋香绿,国标,65.7,-8.7,51.9
葱根绿,国标,65.5,-24.4,36.3
