color,l,a,b,parent
艾绿,68.31982799,-13.68003912,17.76549974,绿
宝蓝,39.26674326,4.448140108,-33.32568328,青
碧绿,56.11734751,-39.73092839,-2.084981078,碧
苍黄,57.93111489,3.345602539,37.36563212,流黄
苍绿,37.49572476,-9.264217274,4.159115891,黑
苍色,44.64062196,-14.93067394,-4.005524694,青
藏蓝,36.31510221,-1.804390469,-17.28326898,青
草黄,72.5808564,-2.957146841,55.07810014,黄
草绿,53.71165454,-16.49811017,26.78837954,绿
茶褐,42.78660935,14.68012676,20.53127677,黑
茶绿,48.29162786,-8.357715559,20.30174758,绿
茶色,45.17033939,21.51271793,21.6006503,红
葱根绿,64.89302466,-32.99819689,25.97507859,绿
大红,51.14551208,52.76672747,35.87761829,赤
玳瑁黄,59.374895,17.08127067,25.04058539,流黄
黛色,29.09533022,-1.745941081,-6.512501502,黑
蛋青,71.08873618,-13.08564254,-11.29775311,碧
靛蓝,28.35189773,5.162864443,-28.08926335,紫
靛青,41.18237567,2.170353508,-41.48710044,青
丁香紫,61.90780551,-12.85824123,-2.859508701,碧
豆绿,62.81495647,-25.24894327,30.50687025,绿
豆青,65.72285422,-8.329131678,18.54213208,绿
豆沙,39.82980941,18.40408505,11.80450641,紫
鹅黄,79.02661112,4.004414489,54.19234106,黄
妃色,59.58016625,38.26273048,23.56030705,红
粉红,74.01576598,30.1349821,5.64996491,红
橄榄灰,43.0916655,-0.668418691,9.23629055,黑
橄榄绿,41.31700405,-5.682250291,31.04866792,绿
绀紫,26.75635,23.53299277,-13.96978294,紫
钴蓝,59.34998764,-10.14811074,-26.80333658,青
果绿,65.00204014,-30.32714921,24.09708398,绿
海棠红,49.93321948,57.45009898,24.17955708,红
褐色,44.05121157,20.04810193,30.21221377,赤
虹蓝,53.08256578,-2.162392475,-35.05217999,青
湖色,65.82572216,-27.72358961,10.70289802,绿
琥珀黄,70.51537011,18.49608462,58.13651917,黄
花青,39.61605552,-0.481198063,-28.82748246,青
黄,78.46775741,8.564453628,70.59938934,黄
灰蓝,47.77893393,-4.707055905,-9.413084752,青
灰绿,55.98016699,-4.855721208,26.40504869,绿
茄皮紫,23.43702949,18.62497149,2.204175633,黑
姜黄,71.86402154,8.408065836,55.14208002,黄
豇豆红,59.71538927,44.17488076,24.44153336,红
酱色,27.86472839,14.15107318,9.255115651,黑
酱紫,28.96393986,25.23722413,2.132466803,紫
金黄,66.01528865,23.86014743,58.97163089,黄
金棕,42.36712321,29.83133203,27.04122168,赤
景泰蓝,56.32662799,-3.366717285,-10.83181681,青
桔红,58.42029579,42.46828615,35.89159191,赤
桔黄,65.42303378,32.66580818,41.71209574,赤
孔雀蓝,41.61987057,-2.110867563,-35.86102899,青
孔雀绿,51.22214692,-37.54755725,5.591671844,绿
枯绿,67.85636953,0.101085501,44.39643782,黄
葵黄,78.23980113,10.98600152,65.04805136,黄
蓝翠,59.18798137,-16.72871803,-24.04305255,青
莲红,52.96744288,36.36893058,9.03466797,红
绿色,56.06833719,-37.89164453,15.28577171,绿
满天星紫,33.1580303,17.08466445,-34.74841757,紫
玫瑰红,40.42531967,49.127397,7.366495929,红
玫瑰紫,36.45238226,37.55752722,-9.883984401,紫
米白,81.25116298,9.744342232,41.54696966,黄
米黄,79.11742797,20.95718142,34.86400808,黄
秘色,72.1659028,-11.22321541,-0.445238304,碧
蜜黄,84.50220903,10.45181042,44.92074907,黄
明黄,81.90174238,1.455953313,68.95338747,黄
墨绿,30.9558418,-42.43312395,-1.996913061,绿
墨色,29.91061606,-0.840369909,-2.368242393,黑
嫩绿,71.14013037,-25.44889224,38.04816812,绿
藕荷,80.91458348,12.8789135,7.837188714,白
蘋婆绿,40.93602313,-27.97454325,2.136440559,绿
葡萄紫,27.60563115,14.72835876,-6.387960183,黑
漆黑,13.66214187,1.942036444,-1.748415389,黑
浅粉红,80.50258241,32.17009218,7.439227302,红
浅湖兰,83.77168756,-10.06162897,-2.398913799,白
浅灰,70.8357632,-1.234757565,-0.976437767,白
浅兰,64.15669012,-6.409775895,-23.03888943,青
浅蓝,67.35288438,-9.041257822,-22.70557615,青
浅雪青,67.10846709,7.540077028,-16.72549465,青
浅血牙,78.30357319,25.41075651,20.14263441,红
茜红,50.21328791,45.02116331,17.48586519,红
青,38.2462714,-3.50524658,-29.9748,青
青翠,48.90442964,-40.52700544,11.1652185,绿
青灰色,45.22219831,0.522705281,-8.797759532,青
青莲,45.35662416,32.13823364,-24.7347838,紫
秋香色,62.80616642,6.397479789,50.12810074,流黄
群青,35.66151909,7.650265022,-44.77627889,紫
乳白,90.20004879,-1.194267407,6.810968388,白
三绿,73.15549841,-27.13854861,5.05855529,碧
上青,24.12391163,1.914071471,-15.55400215,黑
深草绿,36.42956932,-8.70668717,11.35543458,黑
深灰,39.14767306,-0.256917174,-2.85932655,青
深蓝,27.83360018,0.582602939,-23.20098623,黑
深上青,28.23145616,0.141990269,-6.300375361,黑
石黄,78.80916833,6.755201689,48.79105632,黄
石榴红,41.03527868,54.8469061,30.17824204,赤
石绿,57.62193275,-25.33243095,1.496962975,碧
朱红,52.23497545,55.19716433,44.92352058,赤
水红,75.33310571,20.14239599,3.749140758,白
松叶牡丹红,43.50412753,56.43039827,11.65617522,红
桃红,60.97875273,36.88339844,9.744095381,红
藤黄,79.96875266,5.280725927,63.17663357,黄
天蓝,59.86285813,-8.95077626,-30.12472874,青
天青,53.05518014,-10.99338077,-19.54409961,青
铜绿,62.26804103,-23.83163778,5.578293351,碧
土黄,68.07948702,10.67604877,56.28100355,黄
驼色,53.59030627,13.83087403,10.49873857,紫
虾青,56.75678921,-7.838261474,-2.430377578,青
象牙白,91.26333344,1.037429232,9.314582986,白
蟹青,54.75271693,-2.241964749,-5.77440147,青
杏黄,70.73138267,19.45209637,51.44811056,黄
雄黄,66.27445002,32.46411184,57.0332597,流黄
雪青,55.70765169,17.71658078,-20.49006062,紫
牙色,83.51804358,2.929435428,20.90256825,白
芽绿,73.86060406,-20.48159848,44.43028425,黄
胭脂红,49.70411707,52.14949108,22.39127567,红
殷红,34.15008631,41.76234427,14.91904382,红
银白,88.33226769,2.506554765,-0.743737947,白
银红,57.06787696,30.87394809,14.78753874,红
银色,81.58934366,0.623798939,-3.400947296,白
银鼠灰,65.4106162,1.222123125,4.520943096,碧
银朱,49.66117593,55.6707003,38.96117537,赤
鹦哥绿,64.17590435,-38.71241883,-0.918135049,碧
鹦鹉绿,52.88238991,-36.28096692,34.50620879,绿
油绿,46.25392077,-18.66196771,20.08025241,绿
玉色,77.40891073,-17.36383359,9.187806232,碧
元青,23.90061455,0.253100095,2.235421202,黑
月白,76.45050939,-3.535217501,-4.251343856,白
枣褐,37.01574819,17.52358987,14.53252345,黑
枣红,35.29357225,40.71628877,20.26274396,红
皂,25.11782253,2.420406005,5.07703132,黑
赭石,42.71372487,25.2828464,27.48007686,赤
枝绿,72.91025047,-19.23754577,2.335802906,碧
栀子黄,76.59845521,8.926536033,65.02296606,黄
中绿,43.03388524,-15.04805371,2.477831105,青
朱,49.5389271,52.294758,29.08517214,赤
砖褐,33.28186271,14.77223684,14.01736712,黑
祖母绿,48.76468988,-37.9482982,22.66223174,绿
