color,l,a,b,parent
蝙蝠灰,39.557,-5.012,2.917,青
浅豆灰,59,6,6,青
橄榄石灰,55.115,-7.373,1.897,青
橄榄灰,45.359,-1.469,9.288,青
蛛纲灰,57.327,10.467,4.656,青
粉紫,65.9,11.8,-27,青
淡紫,71.859,6.927,-22.277,青
月兰,45,-16,-43,青
深月兰,35,-8,-43,青
蓝采和,27.297,0.099,-30.4,青
晚天兰,57,-21,-34,青
深孔雀兰,34,-22,-29,青
深蝶兰,49,-31,-14,青
浅兰,73,-8,-18,青
天兰,68,-19,-25,青
深中蓝,33,4,-39,青
阴丹士林,28.927,1.027,-26.392,青
罗蓝灰,39.486,5.596,-13.572,青
竹月色,71.105,-3.614,-11.588,青
焰蓝,71.58,4.718,-32.921,青
飞燕草蓝,40.903,4.762,-48.008,青
藏青,32.68,3.153,-25.664,青
深蛋青,35,-29,-20,青
承德皂,41.411,-0.299,3.615,青
海青,67.875,-17.491,-28.626,青
黝绿,45.022,-13.913,5.065,青
织锦灰,61.223,-3.941,-1.358,青
墨绿,32.145,-34.474,-0.609,青
沙绿,47.721,-17.358,0.707,青
深杏灰,48,7,11,青
琉璃色,51.761,8.215,11.993,青
浅咖啡,50,8,10,青
濯绛,45.374,5.34,6.994,青
银褐,62.912,12.104,3.717,青
罗兰紫,27.959,49.076,37.273,赤
茶叶末,38.867,29.996,43.885,赤
深米棕,66,28,42,赤
浅血牙3,75,36,35,赤
媚蝶,54.156,26.314,42.949,赤
深肉色,75,31,35,赤
粉橙色,66.873,26.318,38.757,赤
美人焦橙,65.713,40.252,56.882,赤
橘橙,68.621,37.324,51.883,赤
樱红,52,61,28,赤
橙色,57.891,30.342,50.018,赤
朱樱,31.43,46.791,27.322,赤
朱湛,35.405,42.143,24.859,赤
朱孔阳,39.898,60.281,27.572,赤
丹罽,48.099,74.232,56.84,赤
朱颜酡,71.759,29.213,32.57,赤
拉丝红,51.308,73.75,55.582,赤
朝霞红,28.147,50.955,37.545,赤
深西红,50,56,27,赤
朱缥,64.48,54.19,51,赤
夕阳红,56.559,62.911,34.945,赤
苹果红2,71.559,47.2,28.738,赤
苹果红,60.942,54.498,28.143,赤
谷鞘红,68.949,42.928,26.881,赤
铁水红,58.06,63.32,37.238,赤
野蔷薇红,73.24,30.805,31.469,赤
燕颔红,61.377,55.446,66.472,赤
唐菖蒲红,50.707,64.132,32.542,赤
鹅冠红,44.925,66.647,39.401,赤
赭红,49.52,25.693,24.031,赤
棠梨褐,44.371,21.685,24.056,赤
緅絺,37.764,18.955,26.91,赤
槟榔棕,48.525,27.405,44.569,赤
筍皮棕,28.495,28.761,31.816,赤
火泥棕,48.533,21.849,23.621,赤
水龙吟,63.92,-29.619,57.069,黄
人籁,71.762,-29.51,69.043,黄
翠缥,80.116,-29.27,70.604,黄
嫩草绿,65.584,-14.742,41.767,黄
苦瓜绿,85.305,-16.129,38.581,黄
牙绿,88.995,-13.346,37.052,黄
芽绿,73.627,-23.126,45.928,黄
浅豆黄,75,7,28,黄
姚黄,81.372,-11.679,35.954,黄
少艾,90.787,-15.179,39.427,黄
芸黄,70.163,10.604,35.129,黄
蜜合色,79.891,14.061,25.825,黄
黄白游,96.031,-10.313,46.092,黄
虎黄,69.5,38.5,65.5,黄
琉璃黄,76.777,5.07,78.387,黄
卡其黄,73.833,1.082,30.244,黄
浅血牙2,82,23,26,黄
萱草黄,65.849,31.541,63.55,黄
土布色,73.71,8.686,29.76,黄
柳叶黄,67.27,-11.89,66.45,黄
北瓜黄,72.843,33.014,50.26,黄
万寿菊黄,69.771,38.583,65.864,黄
枇杷黄,75.384,29.859,69.747,黄
橙皮黄,75.102,26.757,78.875,黄
麦芽糖黄,88.473,7.812,33.385,黄
篾黄,87.582,1.97,30.965,黄
谷黄,74.963,8.371,77.288,黄
金盏黄,81.7,7.089,82.675,黄
柚黄,83.106,-3.846,80.767,黄
迎春黄,91.054,-7.01,79.097,黄
赤黄,78.2,20.1,24.9,黄
椒房,69.218,16.887,41.456,黄
蝶粉,77.673,13.193,25.761,黄
鲑鱼红,73.568,22.502,36.8,黄
石蜜,77.914,-0.374,29.989,黄
凋叶棕,71.078,20.707,39.973,黄
白珊瑚,97.57,0.77,3.45,白
鸣珂,72.913,-5.103,12.521,白
银灰色,66.65,3.326,-0.115,白
淡玫瑰灰,62.929,13.809,7.598,白
星灰,69.758,-0.022,-7.071,白
莲瓣白,93.539,3.703,-12.206,白
肉棕灰,66.655,5.365,14.759,白
银灰,66.368,3.054,7.989,白
樱花,79.375,20.531,-8.54,白
盈盈,88.101,15.828,-2.915,白
淡青莲,81.348,17.024,-13.896,白
淡蓝紫,70.492,10.147,-14.732,白
石蕊蓝,71.597,13.044,-18.173,白
晴山,75.102,-1.094,-18.728,白
碧落,81.991,-4.611,-18.46,白
浅兰绿,85,-16,-1,白
井天,78.476,-11.576,-5.566,白
云门,81.436,-11.911,-12.967,白
