color,l,a,b,parent
䌦色,40.983,-22.77,-4.906,青
䒌靘,30.319,4.261,-11.381,黑
丁子茶,56.91,18.52,37.43,流黄
丁香,67.838,29.165,-13.939,紫
丁香棕,43.96959239,14.69246505,17.33038393,黑
丁香淡紫,84.47080597,15.43269133,-7.943566691,白
丁香色,68.511,16.06,-17.3165,紫
丁香褐,65.178,11.826,15.584,白
万寿菊黄,69.77138553,38.58284314,65.86379468,黄
三公子,32.752,28.242,-24.497,紫
上兰,33.5,2.5,-29.5,青
不皂,69.139,-2.744,4.263,碧
东方既白,66.371,0.064,-21.161,青
东方白,73,-3,-3,白
丝瓜花黄,84.357,-2.941,64.279,黄
中兰,51,-1,-35,青
中天蓝,71,-7,-6,碧
中晚波兰,56,-8,-6,青
中条虾绿,57.137,-3.967,4.049,碧
中果绿,57,-39,11,绿
中柚蓝,56,-9,-24,青
中棕灰,63.031,-1.038,17.808,绿
中灰,68.244,0.701,3.322,白
中灰肤色,48.69,28.08,27.62,赤
中灰驼,44.67978115,8.881769037,8.891570822,黑
中石蕊红,73,16,-1,白
中红灰,54.19417428,10.967015,12.45280023,紫
中肉,74,10,12,白
中蓝,40.5,-2,-34.5,青
中驼,53.883,4.836,17.485,绿
中黄,77.9,11.7,76,黄
丹东石,79.982,0.302,35.984,黄
丹秫,33.427,34.535,27.965,赤
丹紫红,56.12085981,46.69343631,-6.568130027,红
丹罽,48.099,74.232,56.84,赤
丹色,55.97266667,42.13566667,44.31133333,赤
丹雘,42.682,64.538,45.256,赤
丽春红,45.01843341,59.58534619,35.6643386,赤
乌梅紫,19.11653328,11.79013839,-8.790795359,黑
乌罗松红,38.246,49.688,19.07,红
乌色,33.388,4.452,-1.495,黑
乌贼灰,52.65505389,10.4950927,4.975090268,紫
乌金,52.778,3.914,33.107,流黄
乌黑,18.663,1.485,-3.2235,黑
九斤黄,74.687,9.305,34.841,黄
乳棕,76.138,-1.305,23.749,白
乳灰,74.388,-1.833,15.277,白
乳鸭黄,82.41206215,7.152634445,74.05032522,黄
乳黄色,89.254,-2.253,24.3,白
二目鱼,88.927,-1.578,3.303,白
二硃,46.757,34.971,20.089,红
二绿,62.469,-23.543,-3.792,碧
二青,75.9,-25.2,-12.5,碧
云山蓝,60.1661774,-7.215114894,-30.1988256,青
云峰白,82.78188897,-0.409886359,-9.558193196,白
云杉绿,18.61599239,-13.18432159,2.487413523,黑
云母,77.285,0.557,7.562,白
云母白,93.522,-0.437,1.449,白
云水蓝,77.58890393,0.374490227,-12.20898847,白
云灰,79.733,-5.811,-0.868,白
云门,81.436,-11.911,-12.967,白
井天,78.476,-11.576,-5.566,白
井天蓝,80.64321019,-1.868683977,-13.1971815,白
亚丁绿,56.43982009,-19.40686276,-0.709692401,碧
京元,20.503,-1.789,3.671,黑
人熊东方白,72,-4,-2,碧
人熊中蓝,42,-5,-31,青
人熊浅蓝,53,-8,-24,青
人熊深蓝,31,0,-32,青
人籁,71.762,-29.51,69.043,黄
介壳淡粉红,83.64905284,16.66523953,14.54488531,白
仙米,81.112,-1.189,16.892,白
优昙瑞,43.32,20.376,-39.488,紫
伽罗,39.987,2.166,20.396,黑
余烬红,56.25777494,28.85649828,34.99371104,赤
余白,82.321,-4.572,6.243,白
佛头青,21.259,7.415,-29.675,黑
佛手黄,84.99858618,-1.078220948,73.47796824,黄
佛赤,36.67,33.545,27.335,赤
佩玖,66.061,1.221,12.683,绿
假山南,78.979,2.422,16.042,白
元色,20,-3,-1,黑
光明砂,52.701,40.789,52.837,赤
兔眼红,54.36239055,59.47059044,-0.500216589,红
兰苕,72.285,-12.797,20.189,绿
养生主,65.498,4.95,18.115,绿
兽皮色,62.825,4.323,24.915,流黄
军绿,46.971,-13.824,21.262,绿
冥色,40.484,-0.461,11.332,黑
冬灰色,53.226,-5.603,0.535,青
冬瓜绿,57.715,-23.091,16.535,绿
冬绿,56.954,-15.809,11.04,绿
冬青绿,45.02369041,-10.3978919,3.327610473,青
冰台,79.958,-7.573,8.083,白
冰山蓝,70.59994001,-4.260385756,-3.543123438,碧
冻缥,77.748,-4.091,7.063,白
凋叶棕,71.07756606,20.70702424,39.97276367,黄
凝夜紫,19.941,25.941,-25.602,紫
凝脂,98,-5.588,8.298,白
凤仙粉,75.909,19.614,6.474,白
凤仙紫,48.909,18.62,-13.929,紫
凤仙花红,63.8654333,36.30703554,3.43490867,红
凤信紫,72.61872272,15.62919765,-11.13871368,白
出岫,67.51,-7.558,27.221,绿
初桃粉红,86.67381781,10.82411852,7.546506772,白
初熟杏黄,80.51428647,11.01031713,56.79439603,黄
初荷红,65.67213857,43.50826986,-4.020221296,红
剑锋紫,34.74799596,6.003776649,-8.318252232,黑
剑鞘绿,50.577811,-7.171917962,1.832378167,青
劳动布色,32.174,4.219,-19.389,黑
包头青色,40.74,0.81,5.46,黑
北京毛蓝,46.38,-0.511,-23.531,青
北瓜黄,72.84317517,33.01367404,50.26005852,黄
十样锦,79.4435,19.739,14.45,白
千山翠,50.723,-8.727,3.237,青
半见,97.785,-6.761,25.473,白
南瓜黄,75.022,12.36,32.745,黄
卡其绿,58.919,-6.755,24.771,绿
卡其黄,73.833,1.082,30.244,黄
卵石紫,26.198012,17.85948485,0.940423616,黑
卵色,88.846,-7.395,5.716,白
古代朱,31.37,8.54,4.53,黑
古铜,39.5,12,18,黑
古铜紫,24.14387525,28.307846,-4.06471558,紫
古铜绿,36.58259402,3.805096066,20.29628636,黑
古铜褐,35.44287174,12.05257944,28.25511769,流黄
古鼎灰,30.86091244,8.505089336,-6.055393701,黑
可可棕,28.13021049,19.15845821,10.6051894,黑
合欢红,73.94174533,29.43660356,6.505226383,红
吉量,93.258,-3.098,6.544,白
吉金,47.894,5.881,25.381,流黄
吊钟花红,63.3170512,47.10535283,-2.172448436,红
吐绶蓝,51.574,-10.323,-24.357,青
吴须色,33.674,11.03,-43.814,紫
和平兰,46,-13,-40,青
咖啡棕,50.175,4.273,16.873,绿
咸池,73.642,17.949,6.928,白
品月,68.669,-3.392,-20.434,青
品红,50.70694471,61.83619618,4.385212568,红
品绿,49.619,-23.525,-13.566,青
品蓝,43.79266602,4.71759326,-38.99076569,青
唇红,66.64418217,44.91379932,17.71310948,红
唇脂,49.74,46.55,14.512,红
唐菖蒲红,50.70743834,64.13225869,32.54217224,赤
喜蛋红,46.79861803,62.23691999,6.933584309,红
嘉陵水绿,82.52802956,-19.25307856,14.79023625,白
土布色,73.71,8.686,29.76,黄
土红,43.71,26.898,11.804,红
土耳其玉绿,74.00805438,-20.33928369,-11.54556974,碧
地籁,83.509,1.757,15.081,白
地血,37.717,29.005,-5.26,紫
垂丝海棠红,71.59707527,44.77461186,-7.753099651,红
垩灰,52.46536534,-4.383588031,-4.374538047,青
墨灰,47.371,-1.842,-6.005,青
墨紫,17.42245993,26.11173784,-10.03478097,紫
墨黪,35.157,0.53,6.759,黑
夏云灰,49.9102624,-4.92290967,-5.874393451,青
夏籥,74.06,9.967,13.977,白
夕岚,75.899,21.496,1.547,白
夕阳红,56.55923023,62.91106209,34.94502703,赤
夜灰,52.489,1.565,5.456,青
夜绿色,52.021,-8.599,7.503,绿
大云,52.168,5.247,26.576,流黄
大块,69.702,3.201,22.38,绿
大理石灰,81.84912423,1.475586886,-7.274814422,白
大理石色,70.684,-6.133,4.82,碧
大紫,29.2,21,-7.8,紫
大繎,29.653,40.625,21.417,红
大红官绿色,64.79,-12.25,-2.04,碧
大绿,33.1,-29.4,11.3,绿
大豆黄,85.13613146,4.755106601,64.28341776,黄
大赤,62.373,-2.422,42.707,流黄
大赤金,67.509,-7.783,29.912,绿
天兰,68,-19,-25,青
天水碧,65.0185,-19.7085,-7.504,碧
天球,88.305,-3.893,12.388,白
天缥,91.233,-9.101,2.377,白
太一余粮,74.549,1.398,48.643,黄
太师青,40.472,-8.088,-4.089,青
夹竹桃红,57.31465062,50.01259156,5.42320832,红
女贞黄,93.425,-6.612,32.634,白
奶棕,67.488,7.933,8.75,白
奶绿,79.772,-10.359,8.296,白
奶黄,83.5,-2.5,70,黄
如梦令,78.002,7.242,21.765,白
妃红,43.255,37.159,21.29,红
姚黄,81.37235004,-11.67909463,35.95377421,黄
姜红,65.70910573,20.82009593,0.990238274,紫
媚蝶,54.156,26.314,42.949,赤
嫣红,59.824,41.763,11.648,红
嫩姜黄,75.286,-0.899,60.312,黄
嫩灰,52.03022511,0.334603718,-3.979879341,青
嫩草绿,65.584,-14.742,41.767,黄
嫩荷绿,84.92377881,-22.35779174,18.77042227,绿
嫩菊绿,93.97866533,-6.163410199,5.716582064,白
嫩菱红,57.06417782,54.75118508,-2.890863663,红
嫩葱绿,58.9895,-17.476,6.5565,碧
嫩鹅黄,83.6495,-3.2965,54.494,黄
嫩黄,87.06666667,-2.9,52.66666667,黄
孟加拉玫瑰红,53.56403869,33.71402352,2.173675805,红
安安蓝,44.80863464,5.986637139,-34.34947679,青
官绿,40.30666667,-28.224,10.76133333,绿
宝石红,40.224,60.233,43.086,赤
宝石绿,63.74827412,-49.20800019,33.87977323,绿
宫殿绿,52.11040413,-39.72301297,13.75727004,绿
宵蓝,64.20562658,4.886783709,-32.92346448,青
密陀僧,68.933,10.60166667,41.29,黄
富春纺色,85.998,2.212,26.6,白
射干,43.33,5.641,23.852,流黄
将校呢,40.122,-0.343,12.653,黑
小红,58.933,35.2845,26.564,赤
小鸡黄,82.433,-3.532,37.12,黄
少艾,90.787,-15.179,39.427,黄
尖晶玉红,47.16016655,56.89744571,17.45431862,红
尘灰,67.04613504,1.918332025,18.2272122,绿
尼罗蓝,51.6637854,2.75302183,-41.75210695,青
山岚,82.178,-10.993,9.127,白
山梗紫,52.2295,10.496,-25.184,紫
山矾,95.965,0.49,0.716,白
山茶红,60.81249994,60.24772325,18.26849121,红
山鸡褐,49.34914484,15.77230399,37.7511049,流黄
山鸡黄,57.69919086,4.399509785,45.01250878,流黄
山黎豆红,55.56110195,26.91702985,1.258905161,紫
岩岱赭,39.34,18.46,12.96,紫
岩石棕,46.30814956,22.84270485,31.32666112,赤
岩赭石,69.51,9.77,5.04,白
岱赭,44.899,34.8145,26.632,赤
巧格力棕,32.87557212,14.50002448,6.44645865,黑
巨吕,60.44,3.426,32.077,流黄
巴黎绿,67.17317119,-30.84821144,20.76234452,绿
帆黄,66.68471568,19.85666218,43.11640806,流黄
帝释青,21.208,3.37,-30.456,黑
库金,63.9435,12.66,47.369,流黄
